id,hhb,hbo2,ca,na
10000,7.400788,5.1009283,9.789884,8.237701
10001,8.368042,7.100568,5.43914,8.450107
10002,6.7635417,10.008932,11.422715,7.749319
10003,9.476253,6.7388654,10.363517,4.4893436
10004,9.696431,8.936177,9.5125675,7.5859313
10005,7.898219,11.552046,12.23639,6.2701855
10006,8.760878,10.519734,9.8263235,9.706812
10007,2.7613268,7.7314644,4.4043036,7.122835
10008,12.983984,7.1059127,10.239437,7.1078315
10009,8.388208,6.2583103,9.168068,7.998448
10010,4.6371894,7.502722,8.320475,11.03798
10011,7.1098104,8.316694,6.5648775,6.569092
10012,6.061639,7.0709343,8.027897,9.159074
10013,11.531803,6.559815,6.77282,7.511491
10014,11.825543,9.487813,10.444116,7.6475983
10015,12.627408,5.301627,7.445509,14.365548
10016,7.465001,9.57221,7.852737,7.5058966
10017,9.177331,10.582311,7.6267614,-0.38487625
10018,6.9447246,10.418194,6.554956,8.814973
10019,8.819511,7.3343544,11.269452,10.006519
10020,6.9308734,7.1905155,11.63125,7.0325575
10021,6.1266313,11.329906,7.9906774,11.107781
10022,7.2609105,9.657627,7.9712744,1.805992
10023,4.381846,5.3894467,8.53535,2.9835467
10024,0.1176649,6.8385324,11.691388,7.703542
10025,7.3983564,6.571714,1.3095666,7.3842306
10026,4.531568,9.8824625,9.736064,9.997771
10027,7.1460915,8.924622,9.387738,9.848962
10028,8.604126,10.800654,7.309406,6.7704
10029,7.7152643,8.153063,9.872814,9.154672
10030,6.178863,8.101302,8.161579,4.063553
10031,7.443466,5.269402,4.9571357,5.085396
10032,8.911028,11.126727,5.5676737,6.8744087
10033,6.8793693,10.381771,8.696759,7.853167
10034,11.89196,8.758813,6.6946926,9.070815
10035,4.871237,4.7381105,8.903014,4.5094686
10036,7.9515085,7.6931973,7.4703307,8.684689
10037,5.7657266,10.162814,6.7628946,5.4134846
10038,7.569889,9.245503,10.548279,2.7410493
10039,8.768056,6.0581026,6.8389406,10.983488
10040,5.3838577,4.371085,11.052246,8.738027
10041,8.078996,5.241621,8.005562,8.598717
10042,8.439913,7.732137,6.7922006,8.18088
10043,6.4478397,5.865417,9.866798,4.190016
10044,5.853143,7.0743217,11.381208,7.811647
10045,4.0394983,4.2337923,5.987422,5.786784
10046,11.755335,8.96247,6.011487,9.498369
10047,6.6253486,7.580981,11.719973,9.561928
10048,6.465675,13.208204,7.2334256,7.857681
10049,8.699953,12.0478115,2.5252242,5.8758645
10050,3.9974492,6.502767,8.430841,7.8534584
10051,10.925208,9.920368,7.942107,9.322452
10052,6.7754245,12.209203,6.620243,4.9991784
10053,7.8624234,11.822859,8.728445,5.4967637
10054,7.5483093,7.9587107,8.602249,9.760807
10055,11.597673,7.7636375,13.256445,9.981138
10056,9.202596,6.586563,10.532972,9.239427
10057,4.098672,5.5077977,7.9056845,11.588101
10058,8.238268,8.181571,6.8903956,6.9675465
10059,7.5695095,4.3366175,11.547756,12.647443
10060,6.571224,8.901344,6.163851,10.414062
10061,9.722797,9.368161,9.784977,11.045301
10062,9.865183,3.2561111,5.0449505,9.525533
10063,8.07836,4.692301,6.316579,6.467542
10064,4.5674496,9.708381,8.436584,10.18147
10065,6.37874,9.800765,9.105497,10.567937
10066,12.21834,7.817979,8.910889,8.148407
10067,9.095172,8.08032,6.4829564,4.9215574
10068,8.804885,4.6528296,6.456922,7.7035713
10069,5.4217763,9.496841,7.1974425,6.1269326
10070,4.3758245,5.7034693,9.182819,4.736365
10071,8.450682,8.002066,6.728471,8.102188
10072,8.0550375,9.658425,10.8366375,6.6608424
10073,6.583972,4.001959,8.903313,10.338998
10074,7.64476,9.101501,7.5227184,9.47436
10075,3.252119,12.06759,8.011307,5.3626056
10076,7.232629,6.795105,7.5834,7.079392
10077,6.8925834,6.5056005,5.096196,8.544175
10078,6.019494,8.266138,7.52777,8.482262
10079,10.697028,6.135898,7.581543,10.157245
10080,8.217996,10.533348,7.1121764,11.570426
10081,7.9123144,14.625452,8.369173,6.0680294
10082,6.064927,6.6189985,5.538676,6.3665833
10083,9.067232,7.3717966,5.3932867,4.106508
10084,8.460724,6.3570795,12.084692,7.5125575
10085,11.6869,9.616361,12.55541,7.714108
10086,5.5300527,5.523745,10.976764,6.934477
10087,8.568123,6.6461143,7.715783,10.566843
10088,8.536708,7.341827,10.2660265,9.817089
10089,9.972567,10.812899,10.347434,5.3116455
10090,7.9377556,9.918514,6.3060246,8.295136
10091,9.181997,4.099468,7.5473075,11.370316
10092,6.984049,7.813932,11.332952,2.1372485
10093,8.806975,6.736296,8.962128,3.8984754
10094,10.057218,7.0684047,4.717674,7.7708416
10095,8.037525,9.856027,6.842294,5.186724
10096,7.728412,6.170239,11.274254,8.411926
10097,8.236308,5.2299776,9.737953,10.162472
10098,8.55723,5.468425,5.620276,6.278645
10099,10.429718,6.1190333,1.1762304,10.4400015
10100,8.119862,8.043156,6.1646495,10.943705
10101,10.184059,4.3660345,8.395242,8.838035
