,id,hhb,hbo2,ca,na
0,10000,8.975962,4.0244083,8.0691805,2.360145
1,10001,8.211447,3.9185991,8.4270115,2.8703144
2,10002,9.816357,4.0257835,9.202891,2.7464485
3,10003,9.493614,3.842199,10.134278,2.7584
4,10004,7.292934,4.0852404,9.732894,3.212073
5,10005,6.9234304,3.604112,8.3508625,3.940378
6,10006,7.656702,4.125966,9.083294,3.3485136
7,10007,7.5310884,4.003833,8.377831,2.7555966
8,10008,7.705119,4.1483545,9.105752,3.1243875
9,10009,8.2337,3.8887033,8.392247,3.3593864
10,10010,8.47851,5.1277466,10.611446,5.3801003
11,10011,9.077009,3.8462005,4.552279,3.3242188
12,10012,8.512127,4.193195,6.345648,3.3746767
13,10013,8.336428,3.9903414,8.299844,3.0328598
14,10014,9.34626,3.9107323,7.0305223,4.1013174
15,10015,8.480465,3.5602367,9.331172,2.8773255
16,10016,9.102781,3.842229,9.7519865,4.5636234
17,10017,8.714724,3.677574,9.961019,2.552063
18,10018,8.22592,3.8951359,8.934717,2.6834087
19,10019,7.8341584,4.046122,9.544869,2.7657514
20,10020,8.044054,3.9421124,10.433066,3.2325592
21,10021,9.756067,4.3916273,10.777068,3.120423
22,10022,9.147335,3.952859,8.503693,2.612951
23,10023,8.302013,4.2954855,8.913526,2.8998446
24,10024,7.7439733,4.2024083,9.573112,2.5442772
25,10025,7.874469,4.243099,8.696384,4.2821617
26,10026,9.972723,3.464233,8.122409,3.1418605
27,10027,7.943814,4.222758,9.693346,3.3582819
28,10028,7.6670713,4.21063,8.560878,2.4091928
29,10029,8.155212,3.9554245,5.5785646,3.099537
30,10030,9.236042,4.677959,7.935154,4.1937323
31,10031,8.762669,4.300291,8.960361,2.9505978
32,10032,8.548683,3.9137168,8.789264,2.0001578
33,10033,7.970923,4.5793924,9.523094,2.895796
34,10034,11.65411,4.216811,13.1524105,2.612005
35,10035,8.074537,3.9714427,8.801993,3.068337
36,10036,8.642212,4.427094,8.454452,3.5521483
37,10037,7.1824694,3.9106057,8.666143,2.3650231
38,10038,8.729502,4.01974,8.762318,2.9299145
39,10039,8.872656,3.986248,9.702688,2.8936744
40,10040,8.944864,3.9052274,9.59952,3.2485633
41,10041,8.271571,3.9668236,7.7019415,3.051035
42,10042,6.8309135,4.023192,8.751777,2.4494658
43,10043,10.256738,3.7117274,9.050714,3.797795
44,10044,7.8964696,4.337798,9.271691,2.8835726
45,10045,7.483615,3.9810348,8.903167,3.3487017
46,10046,7.848372,4.303854,9.364182,2.3560743
47,10047,5.8173227,3.872919,8.658019,4.3557897
48,10048,6.012927,3.4995348,7.719577,3.4529133
49,10049,7.903812,4.129141,7.2726,1.161627
50,10050,8.055904,4.349586,9.437886,2.855821
51,10051,7.3583503,4.1675186,8.393076,3.4376683
52,10052,8.467832,4.1601095,9.5018635,3.451169
53,10053,8.738163,3.877304,9.773449,2.7633252
54,10054,7.9546614,4.171264,9.658716,1.7558173
55,10055,8.704382,3.653022,10.4372635,4.1578054
56,10056,7.266067,4.0065703,9.550377,3.6600666
