,id,hhb,hbo2,ca,na
0,10000,9.103205,3.771704,8.587951,3.183084
1,10001,9.192308,3.7567894,8.592146,3.1230862
2,10002,8.9988,3.755557,8.4281645,3.0540996
3,10003,9.026649,3.8586507,8.857932,3.1678913
4,10004,8.697325,4.1050544,9.005919,2.9926803
5,10005,9.149791,3.8424916,8.914749,3.2574744
6,10006,8.483521,4.000136,8.675373,2.9339304
7,10007,8.551022,3.9395866,8.48837,2.9317536
8,10008,8.787893,3.8150165,8.499116,3.0841227
9,10009,8.669975,4.0091887,8.770585,2.9282005
10,10010,8.969604,4.0408044,9.0058365,3.2234774
11,10011,7.9260664,3.780269,8.008677,2.8900027
12,10012,8.687637,4.0410657,8.618467,3.0261927
13,10013,8.770662,3.8388422,8.529511,3.0587747
14,10014,8.516094,4.027783,8.743115,2.8852243
15,10015,9.030899,3.7391129,8.523788,3.1799064
16,10016,9.027358,3.8177183,8.639947,3.1640358
17,10017,8.470837,3.8548713,8.436978,2.920819
18,10018,8.940235,3.8086207,8.7494545,3.1657157
19,10019,8.897825,4.068292,8.686269,3.1189575
20,10020,9.031362,3.8756146,8.962527,3.1759887
21,10021,8.358772,3.8388956,8.339582,2.8907766
22,10022,8.685368,3.8205056,8.370845,3.0033197
23,10023,9.046322,3.8154192,8.691529,3.160016
24,10024,9.039289,3.7556448,8.657306,3.1175127
25,10025,9.138555,3.8825133,8.871232,3.176134
26,10026,8.171939,3.9165394,8.239239,2.8979523
27,10027,8.4977255,3.9995835,8.746762,2.9538212
28,10028,9.04892,3.743951,8.538438,2.9929469
29,10029,7.8689456,3.7517772,8.003535,2.8159027
30,10030,8.375157,3.9178753,8.398442,2.8664985
31,10031,8.5569725,3.7642062,8.323075,3.0040896
32,10032,8.891279,3.7211096,8.44767,3.0944135
33,10033,8.426626,3.9941156,8.6271925,2.9576132
34,10034,8.252047,4.011042,8.492322,2.9267633
35,10035,8.724981,3.8475807,8.483988,2.9599192
36,10036,9.097992,4.0423822,9.071315,3.1209977
37,10037,8.761705,3.9929245,8.72512,2.9771733
38,10038,8.595081,3.7804756,8.307759,2.9607406
39,10039,8.468906,3.8484416,8.328788,2.9693513
40,10040,8.560261,3.6670516,8.183188,3.0577555
41,10041,9.0470915,3.8453119,8.626295,3.12108
42,10042,8.854044,4.108241,9.092316,3.0511804
43,10043,8.491371,3.9223907,8.42471,2.9270444
44,10044,8.872885,3.8440988,8.571034,3.0970552
45,10045,9.142473,4.0378146,9.02432,3.164517
46,10046,8.558872,3.7916062,8.355182,2.9302554
47,10047,8.147138,3.7494748,8.316404,2.9622817
48,10048,8.592593,3.6331437,8.251245,2.9374473
49,10049,9.081999,3.8021326,8.524798,2.9159822
50,10050,9.011074,4.1072545,8.752723,3.1279163
51,10051,9.018846,3.8362622,8.622019,3.1624026
52,10052,8.794794,3.7689278,8.575089,3.0764198
53,10053,9.328231,3.917945,8.889306,3.1108315
54,10054,8.656922,3.8326876,8.474658,3.006621
55,10055,7.397607,3.8647635,8.280426,3.121033
56,10056,8.599351,4.051615,8.80202,2.9598377
57,10057,8.896247,3.8474863,8.505748,3.0563858
58,10058,8.54562,4.0574193,8.722125,2.994915
59,10059,7.8450155,3.6915903,7.9034204,2.9024453
60,10060,8.3214035,3.7810004,8.27954,3.045922
61,10061,7.2538195,3.9618716,8.561157,2.181073
62,10062,8.572752,3.6154425,8.338286,2.8048499
63,10063,9.027409,3.7058928,8.469253,3.0478318
64,10064,8.868126,3.7015307,8.393196,3.0236478
65,10065,8.86454,3.7533042,8.382866,2.9939284
66,10066,9.260927,3.8521793,8.771628,3.0394783
67,10067,8.806501,3.700269,8.283242,3.072421
68,10068,8.849696,4.083645,9.053456,3.0039957
69,10069,9.1395,3.9758956,8.913675,3.094864
70,10070,8.500744,3.89227,8.373429,2.9906225
71,10071,8.708691,3.7643802,8.43991,3.0463896
72,10072,9.027047,4.034265,9.049651,3.1143274
73,10073,9.357117,3.8709393,8.910159,3.0301373
74,10074,8.294195,3.7701933,8.155078,2.9065573
75,10075,8.513235,4.016606,8.820414,2.8976307
76,10076,8.05101,3.7056458,8.168428,2.8015769
77,10077,8.816227,3.8292487,8.544963,3.0829854
78,10078,8.648828,4.0970707,8.913599,2.9933898
79,10079,8.833211,3.8707554,8.494128,3.058889
80,10080,8.843046,3.8516495,8.527354,3.0609303
81,10081,8.537863,3.9930441,8.597425,2.9405255
82,10082,9.21158,3.8545747,8.753776,3.1610188
83,10083,8.844793,3.7076879,8.461192,3.0537834
84,10084,8.511021,3.965121,8.486446,2.940786
85,10085,8.650999,3.9179347,8.431594,2.9853547
86,10086,8.884874,4.0560155,8.663229,3.11095
87,10087,8.917156,3.955807,8.792353,3.011898
88,10088,9.111057,3.8040547,8.854974,2.9988503
89,10089,8.770649,3.6279798,8.6943445,2.9594438
90,10090,8.29953,3.7061996,8.862384,2.6599746
91,10091,6.406637,3.273753,8.226218,2.2721968
92,10092,5.673112,3.6353228,7.796548,1.0795633
93,10093,5.9285393,3.9171658,7.975698,1.779316
94,10094,7.5699644,3.6265867,8.012104,2.5125735
95,10095,8.615103,4.0577064,8.957624,2.9323716
96,10096,8.80349,3.8634076,8.495582,3.0644493
97,10097,8.490052,3.6907966,8.198522,3.0026727
98,10098,8.752239,3.9405453,8.631834,2.9513297
99,10099,8.599619,3.9495182,8.625838,2.920555
100,10100,7.7453423,4.007137,8.458456,2.5774677
101,10101,7.45907,4.3554797,9.366654,2.2166514
102,10102,-1.550775,2.846024,10.83018,-0.8560285
103,10103,8.626043,4.070034,8.808555,2.8690984
104,10104,5.262139,3.8644698,7.656559,1.0854901
105,10105,9.140636,3.7522624,8.511775,3.0149014
106,10106,8.903363,3.9614305,8.766131,3.0220585
107,10107,8.598934,3.75422,8.308249,3.0539646
108,10108,8.513285,3.7925217,8.39079,2.9866724
109,10109,8.717779,4.0526137,8.616212,3.0793583
110,10110,8.4763565,3.969797,8.857385,2.8860598
111,10111,8.764927,4.0132413,8.57694,3.090889
112,10112,9.268115,3.9287245,8.89799,3.0717354
113,10113,8.870956,3.776886,8.512025,3.1177547
114,10114,8.475849,3.8466444,8.215039,2.9505358
115,10115,8.781535,3.9068787,8.487954,3.0894094
116,10116,8.430095,3.8707721,7.9987144,3.1004415
117,10117,8.818232,3.9710062,8.819512,3.0088527
118,10118,9.021126,4.099356,8.757508,3.1411853
119,10119,9.122856,3.7693179,8.565207,3.136877
120,10120,8.070546,3.7409658,8.280637,2.8679357
121,10121,8.923892,4.1085153,9.171661,2.909533
122,10122,8.2396755,4.0390224,8.654237,2.6947
